id,Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Month,Duration,Campaign,Pdays,Previous,Poutcome,Y
89,38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,1
90,58,retired,married,primary,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,3
91,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,1
92,34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,3
93,51,retired,married,secondary,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,1
94,33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,309,2,-1,0,unknown,0
95,38,services,married,secondary,no,155,yes,no,unknown,5,may,248,1,-1,0,unknown,1
96,43,management,married,tertiary,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,1
97,47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,1
98,48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,1
99,44,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,1
100,35,student,single,unknown,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,1
101,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,1
102,41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,1
103,41,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,1
104,42,retired,married,secondary,no,56,yes,no,unknown,5,may,215,1,-1,0,unknown,1
105,38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,1
106,36,services,married,secondary,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,1
107,54,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,1
108,46,housemaid,married,primary,no,965,no,no,unknown,5,may,177,1,-1,0,unknown,3
109,28,blue-collar,married,primary,no,324,yes,no,unknown,5,may,175,1,-1,0,unknown,0
110,43,technician,divorced,unknown,no,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,1
111,48,blue-collar,married,primary,no,278,yes,no,unknown,5,may,125,2,-1,0,unknown,1
112,33,management,single,tertiary,no,34,yes,no,unknown,5,may,27,1,-1,0,unknown,0
113,36,blue-collar,married,unknown,no,1033,no,no,unknown,5,may,238,2,-1,0,unknown,3
114,31,services,married,secondary,no,388,yes,no,unknown,5,may,730,2,-1,0,unknown,0
115,55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,1
116,44,admin.,divorced,secondary,no,66,yes,no,unknown,5,may,206,1,-1,0,unknown,1
117,38,admin.,married,secondary,no,0,no,no,unknown,5,may,151,1,-1,0,unknown,3
118,43,technician,married,secondary,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown,1
119,49,management,married,tertiary,no,3237,yes,no,unknown,5,may,232,3,-1,0,unknown,1
120,22,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,179,2,-1,0,unknown,0
121,39,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,1
122,51,services,married,secondary,no,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,1
123,33,technician,divorced,secondary,no,140,yes,no,unknown,5,may,227,1,-1,0,unknown,0
124,30,technician,single,secondary,no,2573,yes,no,unknown,5,may,67,2,-1,0,unknown,0
125,34,management,single,tertiary,no,318,yes,no,unknown,5,may,113,2,-1,0,unknown,0
126,42,management,divorced,tertiary,no,742,yes,no,unknown,5,may,58,3,-1,0,unknown,1
127,40,blue-collar,married,primary,no,0,yes,no,unknown,5,may,463,1,-1,0,unknown,1
128,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,1
129,56,entrepreneur,divorced,secondary,no,155,no,no,unknown,5,may,118,3,-1,0,unknown,3
130,36,self-employed,married,tertiary,no,19,no,no,unknown,5,may,189,2,-1,0,unknown,3
131,54,technician,married,tertiary,no,258,no,no,unknown,5,may,310,4,-1,0,unknown,3
132,30,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,5,2,-1,0,unknown,0
133,47,admin.,married,secondary,no,368,yes,no,unknown,5,may,125,2,-1,0,unknown,1
134,32,blue-collar,married,secondary,no,1331,yes,no,unknown,5,may,286,2,-1,0,unknown,0
135,24,student,single,secondary,no,423,yes,no,unknown,5,may,226,3,-1,0,unknown,0
136,34,technician,married,secondary,no,19,yes,no,unknown,5,may,362,4,-1,0,unknown,0
137,56,technician,divorced,primary,no,13,yes,no,unknown,5,may,357,2,-1,0,unknown,3
138,24,student,single,secondary,no,82,yes,no,unknown,5,may,204,2,-1,0,unknown,0
139,57,technician,married,secondary,no,792,yes,no,unknown,5,may,65,2,-1,0,unknown,3
140,57,retired,married,secondary,no,211,yes,no,unknown,5,may,248,2,-1,0,unknown,3
141,50,technician,married,secondary,no,1234,yes,no,unknown,5,may,205,2,-1,0,unknown,1
142,54,management,married,tertiary,no,313,yes,no,unknown,5,may,83,2,-1,0,unknown,1
143,55,blue-collar,married,secondary,no,89,yes,no,unknown,5,may,106,3,-1,0,unknown,1
144,55,services,divorced,primary,no,96,yes,yes,unknown,5,may,311,2,-1,0,unknown,1
145,33,admin.,single,tertiary,no,193,no,no,unknown,5,may,132,2,-1,0,unknown,0
146,46,admin.,married,secondary,no,-358,yes,no,unknown,5,may,358,2,-1,0,unknown,1
147,51,technician,single,secondary,no,0,yes,no,unknown,5,may,364,2,-1,0,unknown,1
148,49,blue-collar,married,unknown,no,403,yes,no,unknown,5,may,241,2,-1,0,unknown,1
149,48,management,married,secondary,no,161,yes,no,unknown,5,may,224,3,-1,0,unknown,1
150,32,technician,divorced,tertiary,no,2558,no,no,unknown,5,may,148,2,-1,0,unknown,0
151,31,admin.,single,secondary,no,98,yes,no,unknown,5,may,196,2,-1,0,unknown,0
152,55,management,single,tertiary,no,115,no,no,unknown,5,may,111,4,-1,0,unknown,3
153,41,blue-collar,married,secondary,no,290,yes,no,unknown,5,may,240,2,-1,0,unknown,1
154,42,blue-collar,married,unknown,no,57,yes,no,unknown,5,may,425,2,-1,0,unknown,1
155,58,management,single,tertiary,no,1387,yes,no,unknown,5,may,174,5,-1,0,unknown,2
156,42,admin.,single,secondary,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,1
157,51,admin.,single,secondary,yes,-2,no,no,unknown,5,may,402,3,-1,0,unknown,3
158,32,services,single,secondary,no,121,yes,no,unknown,5,may,213,2,-1,0,unknown,0
159,53,services,married,unknown,no,18,no,no,unknown,5,may,503,2,-1,0,unknown,3
160,36,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,195,2,-1,0,unknown,1
161,59,unknown,divorced,unknown,no,27,no,no,unknown,5,may,347,3,-1,0,unknown,3
162,43,management,divorced,tertiary,no,1,yes,no,unknown,6,may,306,1,-1,0,unknown,1
163,38,admin.,divorced,tertiary,no,86,yes,no,unknown,6,may,218,1,-1,0,unknown,1
164,23,student,single,secondary,no,157,yes,no,unknown,6,may,54,1,-1,0,unknown,0
165,34,services,married,secondary,no,22,yes,no,unknown,6,may,344,1,-1,0,unknown,0
166,38,admin.,married,secondary,no,46,yes,yes,unknown,6,may,195,1,-1,0,unknown,1
167,37,blue-collar,married,secondary,no,1293,no,no,unknown,6,may,652,1,-1,0,unknown,3
168,25,admin.,single,secondary,no,122,yes,no,unknown,6,may,286,1,-1,0,unknown,0
169,48,blue-collar,married,unknown,no,131,yes,no,unknown,6,may,189,1,-1,0,unknown,1
170,38,admin.,single,secondary,no,393,no,no,unknown,6,may,184,2,-1,0,unknown,3
171,43,blue-collar,married,primary,no,98,yes,no,unknown,6,may,235,1,-1,0,unknown,1
172,33,management,married,tertiary,no,0,yes,no,unknown,6,may,290,1,-1,0,unknown,0
173,38,blue-collar,married,secondary,no,757,yes,no,unknown,6,may,133,1,-1,0,unknown,1
174,49,services,married,secondary,no,245,yes,yes,unknown,6,may,318,1,-1,0,unknown,1
175,38,blue-collar,married,secondary,no,20,yes,no,unknown,6,may,402,1,-1,0,unknown,1
176,57,technician,married,unknown,no,345,yes,no,unknown,6,may,125,1,-1,0,unknown,3
177,58,blue-collar,divorced,unknown,no,29,yes,no,unknown,6,may,253,1,-1,0,unknown,3
178,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,3
179,37,technician,married,tertiary,no,8730,yes,no,unknown,6,may,149,1,-1,0,unknown,1
180,27,admin.,married,secondary,no,4,yes,no,unknown,6,may,243,1,-1,0,unknown,0
181,43,blue-collar,married,secondary,no,1205,yes,no,unknown,6,may,769,2,-1,0,unknown,1
182,32,technician,single,secondary,no,0,yes,yes,unknown,6,may,135,3,-1,0,unknown,3
183,40,admin.,single,secondary,no,263,yes,no,unknown,6,may,231,1,-1,0,unknown,1
184,38,admin.,married,secondary,no,1,no,no,unknown,6,may,76,1,-1,0,unknown,3
185,52,technician,married,unknown,no,7,no,no,unknown,6,may,203,2,-1,0,unknown,3
186,50,management,married,tertiary,no,0,no,no,unknown,6,may,326,1,-1,0,unknown,3
187,58,retired,married,tertiary,no,0,no,no,unknown,6,may,393,1,-1,0,unknown,3
188,46,blue-collar,divorced,primary,no,1927,yes,no,unknown,6,may,241,3,-1,0,unknown,1
189,32,services,single,secondary,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,0
190,51,blue-collar,married,primary,no,230,yes,no,unknown,6,may,673,1,-1,0,unknown,1
191,36,entrepreneur,married,tertiary,no,1169,yes,no,unknown,6,may,168,2,-1,0,unknown,1
192,40,technician,married,secondary,no,77,no,no,unknown,6,may,505,1,-1,0,unknown,3
193,33,technician,married,secondary,yes,72,yes,no,unknown,6,may,623,1,-1,0,unknown,0
194,38,technician,single,tertiary,no,9,yes,no,unknown,6,may,185,3,-1,0,unknown,1
195,38,technician,single,tertiary,no,4325,yes,no,unknown,6,may,87,1,-1,0,unknown,1
196,55,admin.,married,secondary,no,131,yes,no,unknown,6,may,744,1,-1,0,unknown,1
197,39,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,262,1,-1,0,unknown,1
198,40,blue-collar,married,primary,no,46,yes,no,unknown,6,may,119,1,-1,0,unknown,1
199,45,blue-collar,married,secondary,no,39,no,no,unknown,6,may,241,1,-1,0,unknown,3
200,58,technician,divorced,secondary,no,469,no,no,unknown,6,may,196,1,-1,0,unknown,3
201,35,admin.,married,secondary,no,530,yes,no,unknown,6,may,149,1,-1,0,unknown,1
202,49,services,married,primary,no,61,yes,no,unknown,6,may,246,1,-1,0,unknown,1
203,34,technician,single,tertiary,no,242,yes,no,unknown,6,may,112,1,-1,0,unknown,0
204,34,technician,married,secondary,no,367,yes,no,unknown,6,may,140,1,-1,0,unknown,0
205,50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,101,1,-1,0,unknown,1
206,46,management,divorced,unknown,no,2,yes,no,unknown,6,may,187,1,-1,0,unknown,1
207,34,blue-collar,married,secondary,no,270,yes,yes,unknown,6,may,159,1,-1,0,unknown,3
208,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,1
209,58,blue-collar,divorced,secondary,no,-11,no,no,unknown,6,may,112,1,-1,0,unknown,3
210,39,blue-collar,married,primary,no,0,yes,no,unknown,6,may,262,2,-1,0,unknown,1
211,43,blue-collar,married,secondary,no,-509,yes,no,unknown,6,may,124,1,-1,0,unknown,1
212,39,unemployed,married,primary,no,408,yes,no,unknown,6,may,53,1,-1,0,unknown,1
213,44,services,divorced,secondary,no,424,yes,no,unknown,6,may,27,1,-1,0,unknown,1
214,39,housemaid,single,primary,no,109,yes,no,unknown,6,may,699,3,-1,0,unknown,1
215,46,blue-collar,married,unknown,no,1044,yes,no,unknown,6,may,43,1,-1,0,unknown,1
216,34,admin.,married,secondary,no,869,no,no,unknown,6,may,1677,1,-1,0,unknown,0
217,39,management,single,secondary,no,1877,yes,no,unknown,6,may,185,1,-1,0,unknown,1
218,43,blue-collar,divorced,secondary,no,110,yes,yes,unknown,6,may,448,1,-1,0,unknown,1
219,40,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,288,1,-1,0,unknown,1
220,32,technician,married,secondary,no,0,yes,no,unknown,6,may,176,2,-1,0,unknown,0
221,39,admin.,single,secondary,no,0,yes,no,unknown,6,may,174,2,-1,0,unknown,1
222,50,blue-collar,divorced,secondary,no,41,yes,no,unknown,6,may,190,1,-1,0,unknown,1
223,44,blue-collar,married,secondary,no,-99,yes,no,unknown,6,may,111,2,-1,0,unknown,1
224,37,technician,single,secondary,no,17,yes,no,unknown,6,may,164,1,-1,0,unknown,1
225,46,admin.,married,primary,no,276,yes,yes,unknown,6,may,157,2,-1,0,unknown,1
226,32,technician,single,unknown,no,-170,no,no,unknown,6,may,46,1,-1,0,unknown,0
227,29,blue-collar,married,secondary,no,9,yes,no,unknown,6,may,349,1,-1,0,unknown,0
228,41,blue-collar,married,secondary,no,946,yes,no,unknown,6,may,325,1,-1,0,unknown,1
229,45,blue-collar,married,primary,no,1297,yes,no,unknown,6,may,233,2,-1,0,unknown,1
230,57,retired,divorced,secondary,no,-331,yes,no,unknown,6,may,531,1,-1,0,unknown,3
231,26,admin.,single,secondary,no,712,yes,no,unknown,6,may,232,1,-1,0,unknown,0
232,41,blue-collar,married,primary,no,0,yes,yes,unknown,6,may,238,1,-1,0,unknown,1
233,44,admin.,married,unknown,no,40,no,yes,unknown,6,may,160,2,-1,0,unknown,3
234,34,blue-collar,single,tertiary,no,1011,yes,no,unknown,6,may,136,1,-1,0,unknown,0
235,46,management,single,unknown,no,1527,yes,no,unknown,6,may,269,1,-1,0,unknown,1
236,42,management,married,tertiary,no,744,no,no,unknown,6,may,157,1,-1,0,unknown,3
237,52,admin.,married,secondary,no,484,yes,no,unknown,6,may,128,1,-1,0,unknown,1
238,29,management,single,tertiary,no,0,yes,no,unknown,6,may,211,1,-1,0,unknown,0
239,31,housemaid,married,primary,no,203,yes,no,unknown,6,may,604,3,-1,0,unknown,0
240,40,management,single,tertiary,no,3877,yes,no,unknown,6,may,145,1,-1,0,unknown,1
241,52,admin.,married,secondary,no,1236,yes,no,unknown,6,may,247,1,-1,0,unknown,1
242,45,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,263,2,-1,0,unknown,1
243,34,blue-collar,married,primary,no,-144,yes,no,unknown,6,may,79,2,-1,0,unknown,0
244,46,blue-collar,married,secondary,no,71,yes,no,unknown,6,may,416,1,-1,0,unknown,1
245,50,technician,married,primary,no,249,yes,no,unknown,6,may,129,1,-1,0,unknown,1
246,34,admin.,single,secondary,no,0,yes,no,unknown,6,may,150,1,-1,0,unknown,0
247,40,unemployed,single,secondary,no,11,yes,no,unknown,6,may,43,1,-1,0,unknown,1
248,45,blue-collar,married,secondary,no,82,yes,no,unknown,6,may,250,1,-1,0,unknown,1
249,36,self-employed,married,tertiary,no,107,yes,no,unknown,6,may,146,1,-1,0,unknown,1
250,56,services,married,secondary,no,473,yes,no,unknown,6,may,416,1,-1,0,unknown,3
251,42,services,divorced,secondary,no,372,yes,yes,unknown,6,may,121,2,-1,0,unknown,1
252,33,blue-collar,married,secondary,no,-10,yes,no,unknown,6,may,123,1,-1,0,unknown,0
253,39,blue-collar,divorced,unknown,no,170,yes,no,unknown,6,may,268,2,-1,0,unknown,1
254,35,entrepreneur,married,secondary,yes,204,yes,no,unknown,6,may,424,2,-1,0,unknown,1
255,38,management,married,unknown,no,1759,yes,no,unknown,6,may,440,1,-1,0,unknown,1
256,46,unemployed,married,secondary,no,-125,yes,no,unknown,6,may,23,1,-1,0,unknown,1
257,34,blue-collar,married,secondary,no,0,no,no,unknown,6,may,195,1,-1,0,unknown,0
258,28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,0
259,38,technician,married,unknown,no,573,yes,no,unknown,6,may,87,1,-1,0,unknown,1
260,41,blue-collar,single,primary,yes,-137,yes,yes,unknown,6,may,189,1,-1,0,unknown,1
261,52,technician,married,unknown,no,0,no,no,unknown,6,may,195,1,-1,0,unknown,3
262,54,services,married,secondary,no,193,no,no,unknown,6,may,179,1,-1,0,unknown,3
263,53,entrepreneur,married,secondary,no,288,no,no,unknown,6,may,69,1,-1,0,unknown,3
264,53,blue-collar,married,primary,no,25,yes,no,unknown,6,may,266,3,-1,0,unknown,1
265,39,blue-collar,divorced,primary,no,190,yes,yes,unknown,6,may,96,2,-1,0,unknown,1
266,56,technician,divorced,secondary,no,99,yes,no,unknown,6,may,155,2,-1,0,unknown,3
267,55,blue-collar,married,secondary,no,840,yes,no,unknown,6,may,310,2,-1,0,unknown,1
268,37,blue-collar,married,primary,no,-325,yes,yes,unknown,6,may,112,2,-1,0,unknown,1
269,36,technician,single,secondary,no,-15,yes,no,unknown,6,may,341,3,-1,0,unknown,1
270,41,admin.,divorced,primary,no,4070,yes,no,unknown,6,may,140,2,-1,0,unknown,1
271,28,services,divorced,secondary,no,89,no,no,unknown,6,may,174,2,-1,0,unknown,0
272,54,services,married,secondary,yes,0,yes,no,unknown,6,may,138,3,-1,0,unknown,1
273,30,blue-collar,married,secondary,no,450,no,no,unknown,6,may,526,2,-1,0,unknown,0
274,37,blue-collar,married,secondary,no,395,yes,no,unknown,6,may,219,2,-1,0,unknown,1
275,51,blue-collar,married,secondary,no,50,yes,yes,unknown,6,may,121,1,-1,0,unknown,1
276,39,blue-collar,married,secondary,no,285,yes,yes,unknown,6,may,209,1,-1,0,unknown,1
277,51,blue-collar,married,primary,no,653,yes,yes,unknown,6,may,208,1,-1,0,unknown,1
278,55,services,married,primary,no,255,yes,no,unknown,6,may,285,1,-1,0,unknown,1
279,53,blue-collar,married,secondary,no,3397,yes,no,unknown,6,may,231,1,-1,0,unknown,1
280,40,technician,single,unknown,no,-5,yes,no,unknown,6,may,78,2,-1,0,unknown,1
281,40,technician,married,secondary,no,109,yes,no,unknown,6,may,147,2,-1,0,unknown,1
282,59,retired,married,primary,no,-119,yes,no,unknown,6,may,289,1,-1,0,unknown,3
283,30,technician,married,secondary,no,484,yes,no,unknown,6,may,703,1,-1,0,unknown,0
284,31,management,single,tertiary,no,1852,yes,no,unknown,6,may,170,3,-1,0,unknown,0
285,35,unemployed,married,secondary,no,533,yes,no,unknown,6,may,802,1,-1,0,unknown,1
286,34,admin.,single,unknown,no,2434,yes,no,unknown,6,may,218,4,-1,0,unknown,0
287,32,admin.,single,tertiary,no,395,yes,no,unknown,6,may,241,3,-1,0,unknown,0
288,33,services,married,tertiary,no,85,no,no,unknown,6,may,262,3,-1,0,unknown,0
289,30,unemployed,divorced,secondary,no,1144,yes,no,unknown,6,may,252,1,-1,0,unknown,0
290,44,services,divorced,secondary,no,1,yes,no,unknown,6,may,235,4,-1,0,unknown,1
291,37,blue-collar,single,secondary,no,240,yes,no,unknown,6,may,246,1,-1,0,unknown,1
292,38,entrepreneur,married,tertiary,no,898,yes,no,unknown,6,may,132,2,-1,0,unknown,1
293,37,technician,married,secondary,no,123,yes,yes,unknown,6,may,530,2,-1,0,unknown,1
294,31,student,single,secondary,no,252,yes,no,unknown,6,may,175,3,-1,0,unknown,0
295,41,management,married,tertiary,no,65,yes,no,unknown,6,may,524,2,-1,0,unknown,1
296,29,student,single,secondary,no,209,yes,no,unknown,6,may,311,2,-1,0,unknown,0
297,39,admin.,married,secondary,no,104,yes,no,unknown,6,may,412,1,-1,0,unknown,1
298,28,technician,single,secondary,no,312,yes,no,unknown,6,may,392,1,-1,0,unknown,0
